Timestamp,Response,Intensity,Experiment
1746690151105.8623,1,2,Staircase Procedure,
1746690154160.1729,1,2,Staircase Procedure,
1746690164013.6426,1,2,Staircase Procedure,
1746690170093.461,1,2,Staircase Procedure,
1746690179982.5713,1,2,Staircase Procedure,
1746690186300.7588,1,2,Staircase Procedure,
1746690188293.5544,1,2,Staircase Procedure,
1746690189571.3845,1,2,Staircase Procedure,
1746690193061.151,1,2,Staircase Procedure,
1746690199025.5786,1,2,Staircase Procedure,
1746690203249.7383,1,2,Staircase Procedure,
1746690205249.6902,1,2,Staircase Procedure,
1746690208303.9255,1,2,Staircase Procedure,
1746690215210.0762,1,2,Staircase Procedure,
1746690217176.2026,1,2,Staircase Procedure,
1746690227444.319,1,2,Staircase Procedure,
1746690230492.501,1,2,Staircase Procedure,
1746690238295.2017,1,2,Staircase Procedure,
1746690239632.4412,1,2,Staircase Procedure,
1746690242228.466,1,2,Staircase Procedure,
1746690356703.395,NoShot,2,OptimalMoment; current_hole_y=60.00; predicted_hole_y=240.00,
1746690356739.0884,NoShot,2,OptimalMoment; current_hole_y=70.00; predicted_hole_y=250.00,
1746690356775.524,NoShot,2,OptimalMoment; current_hole_y=80.00; predicted_hole_y=260.00,
1746690356812.0388,NoShot,2,OptimalMoment; current_hole_y=90.00; predicted_hole_y=270.00,
1746690356851.248,NoShot,2,OptimalMoment; current_hole_y=100.00; predicted_hole_y=280.00,
1746690356887.9902,NoShot,2,OptimalMoment; current_hole_y=110.00; predicted_hole_y=290.00,
1746690356923.862,NoShot,2,OptimalMoment; current_hole_y=120.00; predicted_hole_y=300.00,
1746690356964.0493,NoShot,2,OptimalMoment; current_hole_y=130.00; predicted_hole_y=310.00,
1746690357004.9932,NoShot,2,OptimalMoment; current_hole_y=140.00; predicted_hole_y=320.00,
1746690357042.0454,NoShot,2,OptimalMoment; current_hole_y=150.00; predicted_hole_y=330.00,
1746690358643.2979,,2,ComputerShoot,
1746690358811.851,NoShot,2,OptimalMoment; current_hole_y=510.00; predicted_hole_y=330.00,
1746690358854.9011,NoShot,2,OptimalMoment; current_hole_y=500.00; predicted_hole_y=320.00,
1746690358890.777,NoShot,2,OptimalMoment; current_hole_y=490.00; predicted_hole_y=310.00,
1746690358926.725,,2,PlayerShoot; current_hole_y=490.00; predicted_hole_y=310.00; optimal=True,Score=0.00; 
1746690358964.2954,NoShot,2,OptimalMoment; current_hole_y=470.00; predicted_hole_y=290.00,
1746690359006.7944,NoShot,2,OptimalMoment; current_hole_y=460.00; predicted_hole_y=280.00,
1746690359051.2676,NoShot,2,OptimalMoment; current_hole_y=450.00; predicted_hole_y=270.00,
1746690359094.359,NoShot,2,OptimalMoment; current_hole_y=440.00; predicted_hole_y=260.00,
1746690359130.7244,NoShot,2,OptimalMoment; current_hole_y=430.00; predicted_hole_y=250.00,
1746690359169.2913,NoShot,2,OptimalMoment; current_hole_y=420.00; predicted_hole_y=240.00,
1746690360701.0728,NoShot,2,OptimalMoment; current_hole_y=60.00; predicted_hole_y=240.00,
1746690360744.267,NoShot,2,OptimalMoment; current_hole_y=70.00; predicted_hole_y=250.00,
1746690360788.3826,NoShot,2,OptimalMoment; current_hole_y=80.00; predicted_hole_y=260.00,
1746690360831.6284,NoShot,2,OptimalMoment; current_hole_y=90.00; predicted_hole_y=270.00,
1746690360874.9155,NoShot,2,OptimalMoment; current_hole_y=100.00; predicted_hole_y=280.00,
1746690360914.167,NoShot,2,OptimalMoment; current_hole_y=110.00; predicted_hole_y=290.00,
1746690360953.8037,NoShot,2,OptimalMoment; current_hole_y=120.00; predicted_hole_y=300.00,
1746690360990.4983,NoShot,2,OptimalMoment; current_hole_y=130.00; predicted_hole_y=310.00,
