Timestamp,Response,Intensity,Experiment
1747647799487.7375,1,2,Staircase Procedure,
1747647802283.2283,1,2,Staircase Procedure,
1747647807493.7441,1,2,Staircase Procedure,
1747647813420.9634,1,2,Staircase Procedure,
1747647816292.4753,1,2,Staircase Procedure,
1747647823329.1934,1,2,Staircase Procedure,
1747647831399.5754,1,2,Staircase Procedure,
1747647838435.7039,1,2,Staircase Procedure,
1747647842332.9414,1,2,Staircase Procedure,
1747647861042.6594,1,2,Staircase Procedure,
1747647867976.3657,1,2,Staircase Procedure,
1747647869176.0127,1,2,Staircase Procedure,
1747647874043.2986,1,2,Staircase Procedure,
1747647875056.5667,1,2,Staircase Procedure,
1747647882982.8447,1,2,Staircase Procedure,
1747647890919.2012,1,2,Staircase Procedure,
1747647894919.561,1,2,Staircase Procedure,
1747647904968.0022,1,2,Staircase Procedure,
1747647914010.8857,1,2,Staircase Procedure,
1747647921046.8904,1,2,Staircase Procedure,
1747647939767.1257,NoShot,2,OptimalMoment; current_hole_y=60.00; predicted_hole_y=240.00,
1747647939803.111,NoShot,2,OptimalMoment; current_hole_y=70.00; predicted_hole_y=250.00,
1747647939839.2405,NoShot,2,OptimalMoment; current_hole_y=80.00; predicted_hole_y=260.00,
1747647939878.479,NoShot,2,OptimalMoment; current_hole_y=90.00; predicted_hole_y=270.00,
1747647939915.0947,NoShot,2,OptimalMoment; current_hole_y=100.00; predicted_hole_y=280.00,
1747647939956.4827,NoShot,2,OptimalMoment; current_hole_y=110.00; predicted_hole_y=290.00,
1747647939998.0789,NoShot,2,OptimalMoment; current_hole_y=120.00; predicted_hole_y=300.00,
1747647940036.5027,NoShot,2,OptimalMoment; current_hole_y=130.00; predicted_hole_y=310.00,
1747647940071.9407,NoShot,2,OptimalMoment; current_hole_y=140.00; predicted_hole_y=320.00,
1747647940108.4297,NoShot,2,OptimalMoment; current_hole_y=150.00; predicted_hole_y=330.00,
1747647941752.0771,,2,ComputerShoot,
1747647941903.4421,NoShot,2,OptimalMoment; current_hole_y=510.00; predicted_hole_y=330.00,
1747647941939.3838,NoShot,2,OptimalMoment; current_hole_y=500.00; predicted_hole_y=320.00,
1747647941975.29,NoShot,2,OptimalMoment; current_hole_y=490.00; predicted_hole_y=310.00,
1747647942017.4014,NoShot,2,OptimalMoment; current_hole_y=480.00; predicted_hole_y=300.00,
1747647942053.113,NoShot,2,OptimalMoment; current_hole_y=470.00; predicted_hole_y=290.00,
1747647942089.9111,NoShot,2,OptimalMoment; current_hole_y=460.00; predicted_hole_y=280.00,
1747647942125.82,NoShot,2,OptimalMoment; current_hole_y=450.00; predicted_hole_y=270.00,
1747647942163.324,NoShot,2,OptimalMoment; current_hole_y=440.00; predicted_hole_y=260.00,
1747647942199.1943,NoShot,2,OptimalMoment; current_hole_y=430.00; predicted_hole_y=250.00,
1747647942236.129,NoShot,2,OptimalMoment; current_hole_y=420.00; predicted_hole_y=240.00,
1747647943608.858,NoShot,2,OptimalMoment; current_hole_y=60.00; predicted_hole_y=240.00,
1747647943645.963,NoShot,2,OptimalMoment; current_hole_y=70.00; predicted_hole_y=250.00,
1747647943685.5317,NoShot,2,OptimalMoment; current_hole_y=80.00; predicted_hole_y=260.00,
1747647943721.553,NoShot,2,OptimalMoment; current_hole_y=90.00; predicted_hole_y=270.00,
1747647943761.9363,NoShot,2,OptimalMoment; current_hole_y=100.00; predicted_hole_y=280.00,
1747647943804.143,NoShot,2,OptimalMoment; current_hole_y=110.00; predicted_hole_y=290.00,
1747647943846.449,NoShot,2,OptimalMoment; current_hole_y=120.00; predicted_hole_y=300.00,
1747647943885.5115,NoShot,2,OptimalMoment; current_hole_y=130.00; predicted_hole_y=310.00,
1747647943921.435,NoShot,2,OptimalMoment; current_hole_y=140.00; predicted_hole_y=320.00,
1747647943958.6328,NoShot,2,OptimalMoment; current_hole_y=150.00; predicted_hole_y=330.00,
1747647944390.865,,2,PlayerShoot; current_hole_y=250.00; predicted_hole_y=430.00; optimal=False,Score=-5.00; 
1747647945569.2864,,2,ComputerShoot,
1747647945728.5059,NoShot,2,OptimalMoment; current_hole_y=510.00; predicted_hole_y=330.00,
1747647945766.5693,NoShot,2,OptimalMoment; current_hole_y=500.00; predicted_hole_y=320.00,
1747647945809.2256,NoShot,2,OptimalMoment; current_hole_y=490.00; predicted_hole_y=310.00,
1747647945845.5413,NoShot,2,OptimalMoment; current_hole_y=480.00; predicted_hole_y=300.00,
1747647945882.1826,NoShot,2,OptimalMoment; current_hole_y=470.00; predicted_hole_y=290.00,
1747647945925.1973,NoShot,2,OptimalMoment; current_hole_y=460.00; predicted_hole_y=280.00,
1747647945961.0308,NoShot,2,OptimalMoment; current_hole_y=450.00; predicted_hole_y=270.00,
1747647945997.3196,NoShot,2,OptimalMoment; current_hole_y=440.00; predicted_hole_y=260.00,
1747647946037.31,NoShot,2,OptimalMoment; current_hole_y=430.00; predicted_hole_y=250.00,
1747647946073.2153,NoShot,2,OptimalMoment; current_hole_y=420.00; predicted_hole_y=240.00,
1747647946258.942,,2,PlayerShoot; current_hole_y=380.00; predicted_hole_y=200.00; optimal=False,Score=-6.00; 
1747647947558.6982,NoShot,2,OptimalMoment; current_hole_y=60.00; predicted_hole_y=240.00,
1747647947599.3467,NoShot,2,OptimalMoment; current_hole_y=70.00; predicted_hole_y=250.00,
1747647947644.3018,NoShot,2,OptimalMoment; current_hole_y=80.00; predicted_hole_y=260.00,
1747647947687.0513,NoShot,2,OptimalMoment; current_hole_y=90.00; predicted_hole_y=270.00,
1747647947731.2783,NoShot,2,OptimalMoment; current_hole_y=100.00; predicted_hole_y=280.00,
1747647947772.1013,NoShot,2,OptimalMoment; current_hole_y=110.00; predicted_hole_y=290.00,
1747647947807.6394,NoShot,2,OptimalMoment; current_hole_y=120.00; predicted_hole_y=300.00,
1747647947843.0398,NoShot,2,OptimalMoment; current_hole_y=130.00; predicted_hole_y=310.00,
1747647947879.9985,NoShot,2,OptimalMoment; current_hole_y=140.00; predicted_hole_y=320.00,
1747647947923.5222,NoShot,2,OptimalMoment; current_hole_y=150.00; predicted_hole_y=330.00,
1747647948082.7566,,2,VibrationSent,
1747647949546.916,,2,ComputerShoot,
1747647949709.2754,NoShot,2,OptimalMoment; current_hole_y=510.00; predicted_hole_y=330.00,
1747647949752.586,NoShot,2,OptimalMoment; current_hole_y=500.00; predicted_hole_y=320.00,
