Timestamp,Response,Intensity,Experiment
1740739903797.5837,0,2,Staircase Procedure,
1740739908862.587,1,3,Staircase Procedure,
1740739914631.299,1,2,Staircase Procedure,
1740739917845.4324,1,2,Staircase Procedure,
1740739927888.583,1,2,Staircase Procedure,
1740739930033.9414,1,2,Staircase Procedure,
1740739934786.3064,1,2,Staircase Procedure,
1740739942903.1936,1,2,Staircase Procedure,
1740739949518.2734,1,2,Staircase Procedure,
1740739959874.5967,1,2,Staircase Procedure,
1740739968802.368,1,2,Staircase Procedure,
1740739973846.4233,1,2,Staircase Procedure,
1740739979917.619,1,2,Staircase Procedure,
1740739988820.107,1,2,Staircase Procedure,
1740739991853.9316,1,2,Staircase Procedure,
1740739997792.5825,1,2,Staircase Procedure,
1740740005841.1433,1,2,Staircase Procedure,
1740740014923.5146,1,2,Staircase Procedure,
1740740024858.012,1,2,Staircase Procedure,
1740740034930.5603,1,2,Staircase Procedure,
1740740052235.614,NoShot,3.0,OptimalMoment; current_hole_y=60.00; predicted_hole_y=240.00,
1740740052276.623,NoShot,3.0,OptimalMoment; current_hole_y=70.00; predicted_hole_y=250.00,
1740740052313.963,NoShot,3.0,OptimalMoment; current_hole_y=80.00; predicted_hole_y=260.00,
1740740052357.6602,NoShot,3.0,OptimalMoment; current_hole_y=90.00; predicted_hole_y=270.00,
1740740052396.01,NoShot,3.0,OptimalMoment; current_hole_y=100.00; predicted_hole_y=280.00,
1740740052433.819,NoShot,3.0,OptimalMoment; current_hole_y=110.00; predicted_hole_y=290.00,
1740740052471.943,NoShot,3.0,OptimalMoment; current_hole_y=120.00; predicted_hole_y=300.00,
1740740052511.5786,NoShot,3.0,OptimalMoment; current_hole_y=130.00; predicted_hole_y=310.00,
1740740052549.3196,NoShot,3.0,OptimalMoment; current_hole_y=140.00; predicted_hole_y=320.00,
1740740052586.0474,NoShot,3.0,OptimalMoment; current_hole_y=150.00; predicted_hole_y=330.00,
1740740054154.8965,,3.0,ComputerShoot,
1740740054305.9734,NoShot,3.0,OptimalMoment; current_hole_y=510.00; predicted_hole_y=330.00,
1740740054344.3452,NoShot,3.0,OptimalMoment; current_hole_y=500.00; predicted_hole_y=320.00,
1740740054388.8618,NoShot,3.0,OptimalMoment; current_hole_y=490.00; predicted_hole_y=310.00,
1740740054427.5413,NoShot,3.0,OptimalMoment; current_hole_y=480.00; predicted_hole_y=300.00,
1740740054470.4722,NoShot,3.0,OptimalMoment; current_hole_y=470.00; predicted_hole_y=290.00,
1740740054508.0718,NoShot,3.0,OptimalMoment; current_hole_y=460.00; predicted_hole_y=280.00,
1740740054546.8008,NoShot,3.0,OptimalMoment; current_hole_y=450.00; predicted_hole_y=270.00,
1740740054587.8223,NoShot,3.0,OptimalMoment; current_hole_y=440.00; predicted_hole_y=260.00,
1740740054625.3418,NoShot,3.0,OptimalMoment; current_hole_y=430.00; predicted_hole_y=250.00,
1740740054663.2112,NoShot,3.0,OptimalMoment; current_hole_y=420.00; predicted_hole_y=240.00,
1740740054813.1108,,3.0,PlayerShoot; current_hole_y=390.00; predicted_hole_y=210.00; optimal=False,Score=0.00; 
1740740056207.0403,,3.0,PlayerShoot; current_hole_y=50.00; predicted_hole_y=230.00; optimal=False,Score=-1.00; 
1740740056245.058,NoShot,3.0,OptimalMoment; current_hole_y=70.00; predicted_hole_y=250.00,
1740740056283.1348,NoShot,3.0,OptimalMoment; current_hole_y=80.00; predicted_hole_y=260.00,
1740740056320.5017,NoShot,3.0,OptimalMoment; current_hole_y=90.00; predicted_hole_y=270.00,
1740740056357.5266,NoShot,3.0,OptimalMoment; current_hole_y=100.00; predicted_hole_y=280.00,
1740740056394.2478,NoShot,3.0,OptimalMoment; current_hole_y=110.00; predicted_hole_y=290.00,
1740740056435.7637,NoShot,3.0,OptimalMoment; current_hole_y=120.00; predicted_hole_y=300.00,
1740740056476.908,NoShot,3.0,OptimalMoment; current_hole_y=130.00; predicted_hole_y=310.00,
1740740056516.828,NoShot,3.0,OptimalMoment; current_hole_y=140.00; predicted_hole_y=320.00,
1740740056553.7756,NoShot,3.0,OptimalMoment; current_hole_y=150.00; predicted_hole_y=330.00,
1740740057562.1587,,3.0,VibrationSent,
1740740058138.0051,,3.0,ComputerShoot,
1740740058298.864,NoShot,3.0,OptimalMoment; current_hole_y=510.00; predicted_hole_y=330.00,
1740740058338.3943,NoShot,3.0,OptimalMoment; current_hole_y=500.00; predicted_hole_y=320.00,
