Timestamp,Response,Intensity,Experiment
1746709471211.4263,0,2,Staircase Procedure,
1746709477329.3,1,3,Staircase Procedure,
1746709480477.2332,1,2,Staircase Procedure,
1746709483811.388,1,2,Staircase Procedure,
1746709493211.5093,1,2,Staircase Procedure,
1746709501218.5315,1,2,Staircase Procedure,
1746709506225.1487,1,2,Staircase Procedure,
1746709509226.476,1,2,Staircase Procedure,
1746709514232.3196,1,2,Staircase Procedure,
1746709518236.743,1,2,Staircase Procedure,
1746709528242.7734,1,2,Staircase Procedure,
1746709532249.4575,1,2,Staircase Procedure,
1746709533251.9326,1,2,Staircase Procedure,
1746709541260.1973,1,2,Staircase Procedure,
1746709547265.867,1,2,Staircase Procedure,
1746709555272.89,1,2,Staircase Procedure,
1746709562274.581,1,2,Staircase Procedure,
1746709565277.2551,1,2,Staircase Procedure,
1746709567284.2947,1,2,Staircase Procedure,
1746709572290.2324,1,2,Staircase Procedure,
1746709655770.5034,NoShot,3.0,OptimalMoment; current_hole_y=60.00; predicted_hole_y=240.00,
1746709655815.1296,NoShot,3.0,OptimalMoment; current_hole_y=70.00; predicted_hole_y=250.00,
1746709655852.5227,NoShot,3.0,OptimalMoment; current_hole_y=80.00; predicted_hole_y=260.00,
1746709655890.7014,NoShot,3.0,OptimalMoment; current_hole_y=90.00; predicted_hole_y=270.00,
1746709655928.2012,NoShot,3.0,OptimalMoment; current_hole_y=100.00; predicted_hole_y=280.00,
1746709655965.637,NoShot,3.0,OptimalMoment; current_hole_y=110.00; predicted_hole_y=290.00,
1746709656004.3086,NoShot,3.0,OptimalMoment; current_hole_y=120.00; predicted_hole_y=300.00,
1746709656042.0068,NoShot,3.0,OptimalMoment; current_hole_y=130.00; predicted_hole_y=310.00,
1746709656080.2844,NoShot,3.0,OptimalMoment; current_hole_y=140.00; predicted_hole_y=320.00,
1746709656118.079,NoShot,3.0,OptimalMoment; current_hole_y=150.00; predicted_hole_y=330.00,
1746709657712.8052,,3.0,ComputerShoot,
1746709657875.714,NoShot,3.0,OptimalMoment; current_hole_y=510.00; predicted_hole_y=330.00,
1746709657916.6301,NoShot,3.0,OptimalMoment; current_hole_y=500.00; predicted_hole_y=320.00,
1746709657956.0496,NoShot,3.0,OptimalMoment; current_hole_y=490.00; predicted_hole_y=310.00,
1746709657993.315,NoShot,3.0,OptimalMoment; current_hole_y=480.00; predicted_hole_y=300.00,
