Timestamp,Response,Intensity,Experiment
1747228438360.29,1,2,Staircase Procedure,
1747228448359.3079,1,2,Staircase Procedure,
1747228452398.345,1,2,Staircase Procedure,
1747228458545.065,1,2,Staircase Procedure,
1747228466415.8423,1,2,Staircase Procedure,
1747228473352.4302,1,2,Staircase Procedure,
1747228482606.9387,1,2,Staircase Procedure,
1747228488610.8704,1,2,Staircase Procedure,
1747228498751.7126,1,2,Staircase Procedure,
1747228501686.8193,1,2,Staircase Procedure,
1747228510661.5347,1,2,Staircase Procedure,
1747228513590.5876,1,2,Staircase Procedure,
1747228520417.7808,1,2,Staircase Procedure,
1747228527668.0388,1,2,Staircase Procedure,
1747228530568.4458,1,2,Staircase Procedure,
1747228533461.6394,1,2,Staircase Procedure,
1747228535136.4084,1,2,Staircase Procedure,
1747228540160.8037,0,2,Staircase Procedure,
1747228542611.6538,1,3,Staircase Procedure,
1747228548679.677,1,2,Staircase Procedure,
1747228559771.145,NoShot,2.5,OptimalMoment; current_hole_y=60.00; predicted_hole_y=240.00,
1747228559813.6091,NoShot,2.5,OptimalMoment; current_hole_y=70.00; predicted_hole_y=250.00,
1747228559852.799,NoShot,2.5,OptimalMoment; current_hole_y=80.00; predicted_hole_y=260.00,
1747228559891.0347,NoShot,2.5,OptimalMoment; current_hole_y=90.00; predicted_hole_y=270.00,
1747228559930.454,NoShot,2.5,OptimalMoment; current_hole_y=100.00; predicted_hole_y=280.00,
1747228559969.3079,NoShot,2.5,OptimalMoment; current_hole_y=110.00; predicted_hole_y=290.00,
1747228560005.6655,NoShot,2.5,OptimalMoment; current_hole_y=120.00; predicted_hole_y=300.00,
1747228560046.0393,NoShot,2.5,OptimalMoment; current_hole_y=130.00; predicted_hole_y=310.00,
1747228560083.484,NoShot,2.5,OptimalMoment; current_hole_y=140.00; predicted_hole_y=320.00,
1747228560121.5535,NoShot,2.5,OptimalMoment; current_hole_y=150.00; predicted_hole_y=330.00,
1747228561690.3865,,2.5,ComputerShoot,
1747228561850.8425,NoShot,2.5,OptimalMoment; current_hole_y=510.00; predicted_hole_y=330.00,
1747228561891.2542,,2.5,PlayerShoot; current_hole_y=510.00; predicted_hole_y=330.00; optimal=True,Score=0.00; 
1747228561931.8528,NoShot,2.5,OptimalMoment; current_hole_y=490.00; predicted_hole_y=310.00,
