Timestamp,Response,Intensity,Experiment
1746696960200.6433,1,2,Staircase Procedure,
1746696969130.4128,1,2,Staircase Procedure,
1746696977067.1013,1,2,Staircase Procedure,
1746696982105.0496,1,2,Staircase Procedure,
1746696983312.3213,1,2,Staircase Procedure,
1746696989070.4478,1,2,Staircase Procedure,
1746696992081.2048,1,2,Staircase Procedure,
1746696999012.6433,1,2,Staircase Procedure,
1746697006056.867,1,2,Staircase Procedure,
1746697015097.9546,1,2,Staircase Procedure,
1746697020059.8281,1,2,Staircase Procedure,
1746697024028.7126,1,2,Staircase Procedure,
1746697029104.53,1,2,Staircase Procedure,
1746697036108.367,1,2,Staircase Procedure,
1746697043076.405,1,2,Staircase Procedure,
1746697053071.5798,1,2,Staircase Procedure,
1746697063146.1392,1,2,Staircase Procedure,
1746697072047.3635,1,2,Staircase Procedure,
1746697076229.8691,1,2,Staircase Procedure,
1746697080120.933,1,2,Staircase Procedure,
1746697104967.1545,NoShot,2,OptimalMoment; current_hole_y=60.00; predicted_hole_y=240.00,
1746697105005.1523,NoShot,2,OptimalMoment; current_hole_y=70.00; predicted_hole_y=250.00,
1746697105044.2485,NoShot,2,OptimalMoment; current_hole_y=80.00; predicted_hole_y=260.00,
1746697105083.0815,NoShot,2,OptimalMoment; current_hole_y=90.00; predicted_hole_y=270.00,
1746697105122.5525,NoShot,2,OptimalMoment; current_hole_y=100.00; predicted_hole_y=280.00,
1746697105161.2346,NoShot,2,OptimalMoment; current_hole_y=110.00; predicted_hole_y=290.00,
1746697105200.2607,NoShot,2,OptimalMoment; current_hole_y=120.00; predicted_hole_y=300.00,
1746697105238.9998,NoShot,2,OptimalMoment; current_hole_y=130.00; predicted_hole_y=310.00,
1746697105278.9802,NoShot,2,OptimalMoment; current_hole_y=140.00; predicted_hole_y=320.00,
1746697105317.878,NoShot,2,OptimalMoment; current_hole_y=150.00; predicted_hole_y=330.00,
1746697106094.0366,,2,PlayerShoot; current_hole_y=340.00; predicted_hole_y=520.00; optimal=False,Score=0.00; 
1746697106874.1228,,2,ComputerShoot,
1746697107031.3962,NoShot,2,OptimalMoment; current_hole_y=510.00; predicted_hole_y=330.00,
1746697107070.186,NoShot,2,OptimalMoment; current_hole_y=500.00; predicted_hole_y=320.00,
1746697107109.0083,NoShot,2,OptimalMoment; current_hole_y=490.00; predicted_hole_y=310.00,
1746697107147.9448,NoShot,2,OptimalMoment; current_hole_y=480.00; predicted_hole_y=300.00,
1746697107187.4097,NoShot,2,OptimalMoment; current_hole_y=470.00; predicted_hole_y=290.00,
1746697107227.0037,NoShot,2,OptimalMoment; current_hole_y=460.00; predicted_hole_y=280.00,
1746697107266.185,NoShot,2,OptimalMoment; current_hole_y=450.00; predicted_hole_y=270.00,
1746697107305.716,NoShot,2,OptimalMoment; current_hole_y=440.00; predicted_hole_y=260.00,
1746697107345.15,NoShot,2,OptimalMoment; current_hole_y=430.00; predicted_hole_y=250.00,
1746697107384.9915,NoShot,2,OptimalMoment; current_hole_y=420.00; predicted_hole_y=240.00,
1746697107463.4597,,2,PlayerShoot; current_hole_y=410.00; predicted_hole_y=230.00; optimal=False,Score=-1.00; 
1746697108788.0833,,2,VibrationSent,
