Timestamp,Response,Intensity,Experiment
1746705456207.5032,1,2,Staircase Procedure,
1746705463239.9688,1,2,Staircase Procedure,
1746705464243.3828,1,2,Staircase Procedure,
1746705469246.4802,1,2,Staircase Procedure,
1746705476255.331,1,2,Staircase Procedure,
1746705486261.026,1,2,Staircase Procedure,
1746705494270.263,1,2,Staircase Procedure,
1746705496257.567,1,2,Staircase Procedure,
1746705505089.1987,1,2,Staircase Procedure,
1746705512280.554,1,2,Staircase Procedure,
1746705520285.8723,1,2,Staircase Procedure,
1746705525289.0166,1,2,Staircase Procedure,
1746705528295.5374,1,2,Staircase Procedure,
1746705529304.5217,1,2,Staircase Procedure,
1746705536768.0425,1,2,Staircase Procedure,
1746705540813.1921,1,2,Staircase Procedure,
1746705547401.273,1,2,Staircase Procedure,
1746705550034.9253,1,2,Staircase Procedure,
1746705557508.0103,1,2,Staircase Procedure,
1746705564115.4998,1,2,Staircase Procedure,
1746705582972.4607,NoShot,2,OptimalMoment; current_hole_y=60.00; predicted_hole_y=240.00,
1746705583016.08,NoShot,2,OptimalMoment; current_hole_y=70.00; predicted_hole_y=250.00,
1746705583056.9045,NoShot,2,OptimalMoment; current_hole_y=80.00; predicted_hole_y=260.00,
1746705583098.0334,NoShot,2,OptimalMoment; current_hole_y=90.00; predicted_hole_y=270.00,
1746705583135.2253,NoShot,2,OptimalMoment; current_hole_y=100.00; predicted_hole_y=280.00,
1746705583174.802,NoShot,2,OptimalMoment; current_hole_y=110.00; predicted_hole_y=290.00,
1746705583215.1182,NoShot,2,OptimalMoment; current_hole_y=120.00; predicted_hole_y=300.00,
1746705583253.8901,NoShot,2,OptimalMoment; current_hole_y=130.00; predicted_hole_y=310.00,
1746705583290.6084,NoShot,2,OptimalMoment; current_hole_y=140.00; predicted_hole_y=320.00,
1746705583328.9045,NoShot,2,OptimalMoment; current_hole_y=150.00; predicted_hole_y=330.00,
1746705584963.702,,2,ComputerShoot,
1746705585127.7559,NoShot,2,OptimalMoment; current_hole_y=510.00; predicted_hole_y=330.00,
1746705585165.8489,NoShot,2,OptimalMoment; current_hole_y=500.00; predicted_hole_y=320.00,
1746705585207.0906,NoShot,2,OptimalMoment; current_hole_y=490.00; predicted_hole_y=310.00,
1746705585243.5754,,2,PlayerShoot; current_hole_y=490.00; predicted_hole_y=310.00; optimal=True,Score=0.00; 
1746705585280.8176,NoShot,2,OptimalMoment; current_hole_y=470.00; predicted_hole_y=290.00,
1746705585318.1763,NoShot,2,OptimalMoment; current_hole_y=460.00; predicted_hole_y=280.00,
1746705585358.8416,NoShot,2,OptimalMoment; current_hole_y=450.00; predicted_hole_y=270.00,
1746705585402.194,NoShot,2,OptimalMoment; current_hole_y=440.00; predicted_hole_y=260.00,
1746705585442.5251,NoShot,2,OptimalMoment; current_hole_y=430.00; predicted_hole_y=250.00,
1746705585479.675,NoShot,2,OptimalMoment; current_hole_y=420.00; predicted_hole_y=240.00,
1746705587001.504,NoShot,2,OptimalMoment; current_hole_y=60.00; predicted_hole_y=240.00,
1746705587039.1384,NoShot,2,OptimalMoment; current_hole_y=70.00; predicted_hole_y=250.00,
1746705587083.1267,NoShot,2,OptimalMoment; current_hole_y=80.00; predicted_hole_y=260.00,
1746705587119.727,NoShot,2,OptimalMoment; current_hole_y=90.00; predicted_hole_y=270.00,
1746705587157.4485,NoShot,2,OptimalMoment; current_hole_y=100.00; predicted_hole_y=280.00,
