Timestamp,Response,Intensity,Experiment
1741268176354.5312,1,2,Staircase Procedure,
1741268184379.1187,0,2,Staircase Procedure,
1741268190365.5498,0,3,Staircase Procedure,
1741268194675.7966,1,4,Staircase Procedure,
1741268198382.4795,1,3,Staircase Procedure,
1741268205388.9011,1,2,Staircase Procedure,
1741268214393.0222,1,2,Staircase Procedure,
1741268225424.8584,0,2,Staircase Procedure,
1741268235408.5408,0,3,Staircase Procedure,
1741268241292.0437,1,4,Staircase Procedure,
1741268248418.1165,0,3,Staircase Procedure,
1741268252056.3843,1,4,Staircase Procedure,
1741268257455.2795,0,3,Staircase Procedure,
1741268258921.3547,1,4,Staircase Procedure,
1741268265234.457,1,3,Staircase Procedure,
1741268276459.2205,0,2,Staircase Procedure,
1741268281517.4597,0,3,Staircase Procedure,
1741268282197.4446,1,4,Staircase Procedure,
1741268289563.9946,0,3,Staircase Procedure,
1741268294209.48,1,4,Staircase Procedure,
1741268473232.2966,NoShot,3.3,OptimalMoment; current_hole_y=60.00; predicted_hole_y=240.00,
1741268473284.157,NoShot,3.3,OptimalMoment; current_hole_y=70.00; predicted_hole_y=250.00,
1741268473322.2395,NoShot,3.3,OptimalMoment; current_hole_y=80.00; predicted_hole_y=260.00,
1741268473364.5786,NoShot,3.3,OptimalMoment; current_hole_y=90.00; predicted_hole_y=270.00,
1741268473409.0017,NoShot,3.3,OptimalMoment; current_hole_y=100.00; predicted_hole_y=280.00,
1741268473446.073,NoShot,3.3,OptimalMoment; current_hole_y=110.00; predicted_hole_y=290.00,
1741268473483.8281,NoShot,3.3,OptimalMoment; current_hole_y=120.00; predicted_hole_y=300.00,
1741268473521.6895,NoShot,3.3,OptimalMoment; current_hole_y=130.00; predicted_hole_y=310.00,
1741268473558.9702,NoShot,3.3,OptimalMoment; current_hole_y=140.00; predicted_hole_y=320.00,
1741268473598.5796,NoShot,3.3,OptimalMoment; current_hole_y=150.00; predicted_hole_y=330.00,
1741268475239.2786,,3.3,ComputerShoot,
1741268475396.2546,NoShot,3.3,OptimalMoment; current_hole_y=510.00; predicted_hole_y=330.00,
1741268475436.6458,NoShot,3.3,OptimalMoment; current_hole_y=500.00; predicted_hole_y=320.00,
1741268475480.3572,NoShot,3.3,OptimalMoment; current_hole_y=490.00; predicted_hole_y=310.00,
1741268475517.362,NoShot,3.3,OptimalMoment; current_hole_y=480.00; predicted_hole_y=300.00,
1741268475554.5984,NoShot,3.3,OptimalMoment; current_hole_y=470.00; predicted_hole_y=290.00,
1741268475593.1765,NoShot,3.3,OptimalMoment; current_hole_y=460.00; predicted_hole_y=280.00,
1741268475636.916,NoShot,3.3,OptimalMoment; current_hole_y=450.00; predicted_hole_y=270.00,
1741268475681.3347,NoShot,3.3,OptimalMoment; current_hole_y=440.00; predicted_hole_y=260.00,
1741268475725.4534,NoShot,3.3,OptimalMoment; current_hole_y=430.00; predicted_hole_y=250.00,
1741268475763.6643,NoShot,3.3,OptimalMoment; current_hole_y=420.00; predicted_hole_y=240.00,
1741268477319.4119,NoShot,3.3,OptimalMoment; current_hole_y=60.00; predicted_hole_y=240.00,
1741268477363.2273,NoShot,3.3,OptimalMoment; current_hole_y=70.00; predicted_hole_y=250.00,
1741268477400.6755,NoShot,3.3,OptimalMoment; current_hole_y=80.00; predicted_hole_y=260.00,
1741268477438.387,NoShot,3.3,OptimalMoment; current_hole_y=90.00; predicted_hole_y=270.00,
1741268477475.831,NoShot,3.3,OptimalMoment; current_hole_y=100.00; predicted_hole_y=280.00,
