Timestamp,Response,Intensity,Experiment
1747229355025.3284,1,2,Staircase Procedure,
1747229362166.3845,1,2,Staircase Procedure,
1747229371011.5662,1,2,Staircase Procedure,
1747229376995.8743,1,2,Staircase Procedure,
1747229384351.4897,0,2,Staircase Procedure,
1747229385099.8035,1,3,Staircase Procedure,
1747229391396.5537,0,2,Staircase Procedure,
1747229395108.3335,1,3,Staircase Procedure,
1747229402182.071,1,2,Staircase Procedure,
1747229408909.414,1,2,Staircase Procedure,
1747229410032.0894,1,2,Staircase Procedure,
1747229415843.3035,1,2,Staircase Procedure,
1747229419876.7522,1,2,Staircase Procedure,
1747229421126.627,1,2,Staircase Procedure,
1747229422018.5378,1,2,Staircase Procedure,
1747229426895.7576,1,2,Staircase Procedure,
1747229430855.2449,1,2,Staircase Procedure,
1747229437428.0056,0,2,Staircase Procedure,
1747229437901.679,1,3,Staircase Procedure,
1747229446011.9941,1,2,Staircase Procedure,
1747229456462.8079,NoShot,2.5,OptimalMoment; current_hole_y=60.00; predicted_hole_y=240.00,
1747229456500.1648,NoShot,2.5,OptimalMoment; current_hole_y=70.00; predicted_hole_y=250.00,
1747229456536.0042,NoShot,2.5,OptimalMoment; current_hole_y=80.00; predicted_hole_y=260.00,
1747229456571.576,NoShot,2.5,OptimalMoment; current_hole_y=90.00; predicted_hole_y=270.00,
1747229456612.5972,NoShot,2.5,OptimalMoment; current_hole_y=100.00; predicted_hole_y=280.00,
1747229456651.9912,NoShot,2.5,OptimalMoment; current_hole_y=110.00; predicted_hole_y=290.00,
1747229456687.878,NoShot,2.5,OptimalMoment; current_hole_y=120.00; predicted_hole_y=300.00,
1747229456725.7769,NoShot,2.5,OptimalMoment; current_hole_y=130.00; predicted_hole_y=310.00,
1747229456765.0857,NoShot,2.5,OptimalMoment; current_hole_y=140.00; predicted_hole_y=320.00,
1747229456801.1401,NoShot,2.5,OptimalMoment; current_hole_y=150.00; predicted_hole_y=330.00,
1747229458292.661,,2.5,ComputerShoot,
1747229458454.5168,NoShot,2.5,OptimalMoment; current_hole_y=510.00; predicted_hole_y=330.00,
1747229458493.7083,NoShot,2.5,OptimalMoment; current_hole_y=500.00; predicted_hole_y=320.00,
1747229458530.3643,NoShot,2.5,OptimalMoment; current_hole_y=490.00; predicted_hole_y=310.00,
1747229458565.8733,NoShot,2.5,OptimalMoment; current_hole_y=480.00; predicted_hole_y=300.00,
1747229458601.572,NoShot,2.5,OptimalMoment; current_hole_y=470.00; predicted_hole_y=290.00,
1747229458637.4414,NoShot,2.5,OptimalMoment; current_hole_y=460.00; predicted_hole_y=280.00,
1747229458677.6106,NoShot,2.5,OptimalMoment; current_hole_y=450.00; predicted_hole_y=270.00,
1747229458719.4924,NoShot,2.5,OptimalMoment; current_hole_y=440.00; predicted_hole_y=260.00,
1747229458759.3005,NoShot,2.5,OptimalMoment; current_hole_y=430.00; predicted_hole_y=250.00,
1747229458799.365,NoShot,2.5,OptimalMoment; current_hole_y=420.00; predicted_hole_y=240.00,
1747229459387.7651,,,CloseMouth,
1747229460206.751,NoShot,2.5,OptimalMoment; current_hole_y=60.00; predicted_hole_y=240.00,
1747229460242.2942,NoShot,2.5,OptimalMoment; current_hole_y=70.00; predicted_hole_y=250.00,
1747229460277.9534,NoShot,2.5,OptimalMoment; current_hole_y=80.00; predicted_hole_y=260.00,
1747229460316.1587,NoShot,2.5,OptimalMoment; current_hole_y=90.00; predicted_hole_y=270.00,
1747229460353.2412,NoShot,2.5,OptimalMoment; current_hole_y=100.00; predicted_hole_y=280.00,
1747229460389.1929,NoShot,2.5,OptimalMoment; current_hole_y=110.00; predicted_hole_y=290.00,
1747229460426.096,NoShot,2.5,OptimalMoment; current_hole_y=120.00; predicted_hole_y=300.00,
1747229460465.9893,NoShot,2.5,OptimalMoment; current_hole_y=130.00; predicted_hole_y=310.00,
1747229460501.893,NoShot,2.5,OptimalMoment; current_hole_y=140.00; predicted_hole_y=320.00,
1747229460537.7961,NoShot,2.5,OptimalMoment; current_hole_y=150.00; predicted_hole_y=330.00,
1747229462063.5056,,2.5,ComputerShoot,
1747229462207.6177,NoShot,2.5,OptimalMoment; current_hole_y=510.00; predicted_hole_y=330.00,
1747229462243.339,NoShot,2.5,OptimalMoment; current_hole_y=500.00; predicted_hole_y=320.00,
1747229462279.0437,NoShot,2.5,OptimalMoment; current_hole_y=490.00; predicted_hole_y=310.00,
1747229462315.1445,NoShot,2.5,OptimalMoment; current_hole_y=480.00; predicted_hole_y=300.00,
1747229462351.2363,NoShot,2.5,OptimalMoment; current_hole_y=470.00; predicted_hole_y=290.00,
1747229462387.5002,NoShot,2.5,OptimalMoment; current_hole_y=460.00; predicted_hole_y=280.00,
1747229462423.4038,NoShot,2.5,OptimalMoment; current_hole_y=450.00; predicted_hole_y=270.00,
1747229462459.3076,NoShot,2.5,OptimalMoment; current_hole_y=440.00; predicted_hole_y=260.00,
1747229462495.2126,NoShot,2.5,OptimalMoment; current_hole_y=430.00; predicted_hole_y=250.00,
1747229462531.1165,NoShot,2.5,OptimalMoment; current_hole_y=420.00; predicted_hole_y=240.00,
1747229462713.6294,,,CloseMouth,
1747229463935.5122,NoShot,2.5,OptimalMoment; current_hole_y=60.00; predicted_hole_y=240.00,
1747229463975.682,NoShot,2.5,OptimalMoment; current_hole_y=70.00; predicted_hole_y=250.00,
1747229464011.6084,NoShot,2.5,OptimalMoment; current_hole_y=80.00; predicted_hole_y=260.00,
1747229464052.5696,NoShot,2.5,OptimalMoment; current_hole_y=90.00; predicted_hole_y=270.00,
1747229464093.2114,NoShot,2.5,OptimalMoment; current_hole_y=100.00; predicted_hole_y=280.00,
1747229464129.5947,NoShot,2.5,OptimalMoment; current_hole_y=110.00; predicted_hole_y=290.00,
1747229464166.5496,NoShot,2.5,OptimalMoment; current_hole_y=120.00; predicted_hole_y=300.00,
1747229464202.409,NoShot,2.5,OptimalMoment; current_hole_y=130.00; predicted_hole_y=310.00,
1747229464237.752,NoShot,2.5,OptimalMoment; current_hole_y=140.00; predicted_hole_y=320.00,
1747229464273.8562,NoShot,2.5,OptimalMoment; current_hole_y=150.00; predicted_hole_y=330.00,
1747229464700.3835,,2.5,PlayerShoot; current_hole_y=250.00; predicted_hole_y=430.00; optimal=False,Score=0.00; 
1747229465514.2695,,,CloseMouth,
1747229465834.9243,,2.5,ComputerShoot,
1747229465985.8496,NoShot,2.5,OptimalMoment; current_hole_y=510.00; predicted_hole_y=330.00,
1747229466024.7432,NoShot,2.5,OptimalMoment; current_hole_y=500.00; predicted_hole_y=320.00,
1747229466063.025,NoShot,2.5,OptimalMoment; current_hole_y=490.00; predicted_hole_y=310.00,
1747229466102.4119,NoShot,2.5,OptimalMoment; current_hole_y=480.00; predicted_hole_y=300.00,
1747229466138.5588,NoShot,2.5,OptimalMoment; current_hole_y=470.00; predicted_hole_y=290.00,
1747229466174.4001,NoShot,2.5,OptimalMoment; current_hole_y=460.00; predicted_hole_y=280.00,
1747229466210.0286,NoShot,2.5,OptimalMoment; current_hole_y=450.00; predicted_hole_y=270.00,
1747229466245.8977,NoShot,2.5,OptimalMoment; current_hole_y=440.00; predicted_hole_y=260.00,
1747229466282.243,NoShot,2.5,OptimalMoment; current_hole_y=430.00; predicted_hole_y=250.00,
1747229466319.3713,NoShot,2.5,OptimalMoment; current_hole_y=420.00; predicted_hole_y=240.00,
1747229467743.1863,NoShot,2.5,OptimalMoment; current_hole_y=60.00; predicted_hole_y=240.00,
1747229467779.3674,NoShot,2.5,OptimalMoment; current_hole_y=70.00; predicted_hole_y=250.00,
1747229467814.9875,NoShot,2.5,OptimalMoment; current_hole_y=80.00; predicted_hole_y=260.00,
1747229467850.5503,NoShot,2.5,OptimalMoment; current_hole_y=90.00; predicted_hole_y=270.00,
1747229467890.127,NoShot,2.5,OptimalMoment; current_hole_y=100.00; predicted_hole_y=280.00,
1747229467927.8838,NoShot,2.5,OptimalMoment; current_hole_y=110.00; predicted_hole_y=290.00,
1747229467963.5913,NoShot,2.5,OptimalMoment; current_hole_y=120.00; predicted_hole_y=300.00,
1747229467999.4956,NoShot,2.5,OptimalMoment; current_hole_y=130.00; predicted_hole_y=310.00,
1747229468035.31,NoShot,2.5,OptimalMoment; current_hole_y=140.00; predicted_hole_y=320.00,
1747229468071.247,NoShot,2.5,OptimalMoment; current_hole_y=150.00; predicted_hole_y=330.00,
1747229469585.3323,,2.5,ComputerShoot,
1747229469729.2788,NoShot,2.5,OptimalMoment; current_hole_y=510.00; predicted_hole_y=330.00,
1747229469770.2378,NoShot,2.5,OptimalMoment; current_hole_y=500.00; predicted_hole_y=320.00,
1747229469814.2556,NoShot,2.5,OptimalMoment; current_hole_y=490.00; predicted_hole_y=310.00,
1747229469850.1902,NoShot,2.5,OptimalMoment; current_hole_y=480.00; predicted_hole_y=300.00,
1747229469893.5366,NoShot,2.5,OptimalMoment; current_hole_y=470.00; predicted_hole_y=290.00,
1747229469934.417,NoShot,2.5,OptimalMoment; current_hole_y=460.00; predicted_hole_y=280.00,
1747229469971.4097,NoShot,2.5,OptimalMoment; current_hole_y=450.00; predicted_hole_y=270.00,
1747229470008.4888,NoShot,2.5,OptimalMoment; current_hole_y=440.00; predicted_hole_y=260.00,
1747229470049.4102,NoShot,2.5,OptimalMoment; current_hole_y=430.00; predicted_hole_y=250.00,
1747229470085.6973,NoShot,2.5,OptimalMoment; current_hole_y=420.00; predicted_hole_y=240.00,
1747229470157.5562,,,CloseMouth,
1747229471524.5188,NoShot,2.5,OptimalMoment; current_hole_y=60.00; predicted_hole_y=240.00,
1747229471567.9255,NoShot,2.5,OptimalMoment; current_hole_y=70.00; predicted_hole_y=250.00,
