Timestamp,Response,Intensity,Experiment
1744721741315.331,1,2,Staircase Procedure,
1744721749322.3428,1,2,Staircase Procedure,
1744721759182.8098,1,2,Staircase Procedure,
1744721761290.65,1,2,Staircase Procedure,
1744721764294.365,1,2,Staircase Procedure,
1744721772334.5894,1,2,Staircase Procedure,
1744721779238.6257,1,2,Staircase Procedure,
1744721786239.8525,1,2,Staircase Procedure,
1744721787457.5076,1,2,Staircase Procedure,
1744721788784.2954,1,2,Staircase Procedure,
1744721794147.5256,1,2,Staircase Procedure,
1744721799261.513,1,2,Staircase Procedure,
1744721803190.0312,1,2,Staircase Procedure,
1744721811267.0667,1,2,Staircase Procedure,
1744721815268.0198,1,2,Staircase Procedure,
1744721817309.6462,1,2,Staircase Procedure,
1744721822253.5925,1,2,Staircase Procedure,
1744721827218.7278,1,2,Staircase Procedure,
1744721830184.82,1,2,Staircase Procedure,
1744721837330.7915,1,2,Staircase Procedure,
1744721849978.7124,NoShot,2,OptimalMoment; current_hole_y=60.00; predicted_hole_y=240.00,
1744721850023.1594,NoShot,2,OptimalMoment; current_hole_y=70.00; predicted_hole_y=250.00,
1744721850061.8284,NoShot,2,OptimalMoment; current_hole_y=80.00; predicted_hole_y=260.00,
1744721850100.797,NoShot,2,OptimalMoment; current_hole_y=90.00; predicted_hole_y=270.00,
1744721850142.4304,NoShot,2,OptimalMoment; current_hole_y=100.00; predicted_hole_y=280.00,
1744721850179.7207,NoShot,2,OptimalMoment; current_hole_y=110.00; predicted_hole_y=290.00,
1744721850216.994,NoShot,2,OptimalMoment; current_hole_y=120.00; predicted_hole_y=300.00,
1744721850255.0063,NoShot,2,OptimalMoment; current_hole_y=130.00; predicted_hole_y=310.00,
1744721850292.1907,NoShot,2,OptimalMoment; current_hole_y=140.00; predicted_hole_y=320.00,
1744721850329.1562,NoShot,2,OptimalMoment; current_hole_y=150.00; predicted_hole_y=330.00,
1744721851552.0935,,2,PlayerShoot; current_hole_y=470.00; predicted_hole_y=450.00; optimal=False,Score=0.00; 
1744721851811.0398,,2,ComputerShoot,
1744721851958.9873,NoShot,2,OptimalMoment; current_hole_y=510.00; predicted_hole_y=330.00,
1744721851996.2354,NoShot,2,OptimalMoment; current_hole_y=500.00; predicted_hole_y=320.00,
1744721852033.4612,NoShot,2,OptimalMoment; current_hole_y=490.00; predicted_hole_y=310.00,
1744721852071.087,NoShot,2,OptimalMoment; current_hole_y=480.00; predicted_hole_y=300.00,
1744721852108.501,NoShot,2,OptimalMoment; current_hole_y=470.00; predicted_hole_y=290.00,
1744721852145.705,NoShot,2,OptimalMoment; current_hole_y=460.00; predicted_hole_y=280.00,
1744721852182.5984,NoShot,2,OptimalMoment; current_hole_y=450.00; predicted_hole_y=270.00,
1744721852220.678,NoShot,2,OptimalMoment; current_hole_y=440.00; predicted_hole_y=260.00,
