Timestamp,Response,Intensity,Experiment
1746699346101.1873,0,2,Staircase Procedure,
1746699349682.0906,1,3,Staircase Procedure,
1746699359574.7275,1,2,Staircase Procedure,
1746699362827.9873,1,2,Staircase Procedure,
1746699369547.138,1,2,Staircase Procedure,
1746699378772.19,1,2,Staircase Procedure,
1746699388628.7332,1,2,Staircase Procedure,
1746699395595.971,1,2,Staircase Procedure,
1746699404559.7417,1,2,Staircase Procedure,
1746699409597.201,1,2,Staircase Procedure,
1746699414604.8416,1,2,Staircase Procedure,
1746699422644.7317,1,2,Staircase Procedure,
1746699429789.4658,1,2,Staircase Procedure,
1746699432684.5552,1,2,Staircase Procedure,
1746699433685.9048,1,2,Staircase Procedure,
1746699442698.8425,1,2,Staircase Procedure,
1746699443727.595,1,2,Staircase Procedure,
1746699449659.3357,1,2,Staircase Procedure,
1746699454556.882,1,2,Staircase Procedure,
1746699457632.067,1,2,Staircase Procedure,
1746699473960.7073,NoShot,3.0,OptimalMoment; current_hole_y=60.00; predicted_hole_y=240.00,
1746699474005.0134,NoShot,3.0,OptimalMoment; current_hole_y=70.00; predicted_hole_y=250.00,
1746699474050.2957,NoShot,3.0,OptimalMoment; current_hole_y=80.00; predicted_hole_y=260.00,
1746699474093.8162,NoShot,3.0,OptimalMoment; current_hole_y=90.00; predicted_hole_y=270.00,
1746699474136.3716,NoShot,3.0,OptimalMoment; current_hole_y=100.00; predicted_hole_y=280.00,
1746699474180.4082,NoShot,3.0,OptimalMoment; current_hole_y=110.00; predicted_hole_y=290.00,
1746699474223.6267,NoShot,3.0,OptimalMoment; current_hole_y=120.00; predicted_hole_y=300.00,
1746699474261.6929,NoShot,3.0,OptimalMoment; current_hole_y=130.00; predicted_hole_y=310.00,
1746699474302.9668,NoShot,3.0,OptimalMoment; current_hole_y=140.00; predicted_hole_y=320.00,
1746699474345.2007,NoShot,3.0,OptimalMoment; current_hole_y=150.00; predicted_hole_y=330.00,
1746699476074.6858,,3.0,ComputerShoot,
