Timestamp,Response,Intensity,Experiment
1747124052258.9421,1,2,Staircase Procedure,
1747124055774.7463,1,2,Staircase Procedure,
1747124061536.507,1,2,Staircase Procedure,
1747124065362.0479,1,2,Staircase Procedure,
1747124075263.1372,1,2,Staircase Procedure,
1747124078443.0044,1,2,Staircase Procedure,
1747124088234.115,1,2,Staircase Procedure,
1747124092266.0996,1,2,Staircase Procedure,
1747124095313.1433,1,2,Staircase Procedure,
1747124104169.0374,1,2,Staircase Procedure,
1747124111427.4663,1,2,Staircase Procedure,
1747124120714.8455,1,2,Staircase Procedure,
1747124130899.1953,1,2,Staircase Procedure,
1747124134260.6204,1,2,Staircase Procedure,
1747124136878.0671,1,2,Staircase Procedure,
1747124138665.2856,1,2,Staircase Procedure,
1747124140393.455,1,2,Staircase Procedure,
1747124148682.7666,1,2,Staircase Procedure,
1747124157646.4387,1,2,Staircase Procedure,
1747124168725.4568,0,2,Staircase Procedure,
1747124222784.1475,NoShot,2.0,OptimalMoment; current_hole_y=60.00; predicted_hole_y=240.00,
1747124222832.4204,NoShot,2.0,OptimalMoment; current_hole_y=70.00; predicted_hole_y=250.00,
1747124222871.955,NoShot,2.0,OptimalMoment; current_hole_y=80.00; predicted_hole_y=260.00,
1747124222914.7632,NoShot,2.0,OptimalMoment; current_hole_y=90.00; predicted_hole_y=270.00,
1747124222957.117,NoShot,2.0,OptimalMoment; current_hole_y=100.00; predicted_hole_y=280.00,
1747124222995.1028,NoShot,2.0,OptimalMoment; current_hole_y=110.00; predicted_hole_y=290.00,
1747124223036.614,NoShot,2.0,OptimalMoment; current_hole_y=120.00; predicted_hole_y=300.00,
1747124223075.016,NoShot,2.0,OptimalMoment; current_hole_y=130.00; predicted_hole_y=310.00,
1747124223112.5393,NoShot,2.0,OptimalMoment; current_hole_y=140.00; predicted_hole_y=320.00,
1747124223149.67,NoShot,2.0,OptimalMoment; current_hole_y=150.00; predicted_hole_y=330.00,
1747124224776.9216,,2.0,ComputerShoot,
1747124224951.3904,NoShot,2.0,OptimalMoment; current_hole_y=510.00; predicted_hole_y=330.00,
1747124224995.0698,NoShot,2.0,OptimalMoment; current_hole_y=500.00; predicted_hole_y=320.00,
1747124225036.1653,NoShot,2.0,OptimalMoment; current_hole_y=490.00; predicted_hole_y=310.00,
1747124225072.885,NoShot,2.0,OptimalMoment; current_hole_y=480.00; predicted_hole_y=300.00,
1747124225109.9375,NoShot,2.0,OptimalMoment; current_hole_y=470.00; predicted_hole_y=290.00,
1747124225150.9878,NoShot,2.0,OptimalMoment; current_hole_y=460.00; predicted_hole_y=280.00,
1747124225194.7913,NoShot,2.0,OptimalMoment; current_hole_y=450.00; predicted_hole_y=270.00,
1747124225239.3606,NoShot,2.0,OptimalMoment; current_hole_y=440.00; predicted_hole_y=260.00,
1747124225278.6914,NoShot,2.0,OptimalMoment; current_hole_y=430.00; predicted_hole_y=250.00,
1747124225315.7603,NoShot,2.0,OptimalMoment; current_hole_y=420.00; predicted_hole_y=240.00,
1747124225805.6973,,2.0,PlayerShoot; current_hole_y=310.00; predicted_hole_y=130.00; optimal=False,Score=-5.00; 
1747124226417.9905,,,CloseMouth,
1747124226892.6616,NoShot,2.0,OptimalMoment; current_hole_y=60.00; predicted_hole_y=240.00,
1747124226930.6663,NoShot,2.0,OptimalMoment; current_hole_y=70.00; predicted_hole_y=250.00,
1747124226971.9055,NoShot,2.0,OptimalMoment; current_hole_y=80.00; predicted_hole_y=260.00,
1747124227015.665,NoShot,2.0,OptimalMoment; current_hole_y=90.00; predicted_hole_y=270.00,
1747124227060.5579,NoShot,2.0,OptimalMoment; current_hole_y=100.00; predicted_hole_y=280.00,
1747124227103.3325,NoShot,2.0,OptimalMoment; current_hole_y=110.00; predicted_hole_y=290.00,
1747124227146.1187,NoShot,2.0,OptimalMoment; current_hole_y=120.00; predicted_hole_y=300.00,
1747124227183.6711,NoShot,2.0,OptimalMoment; current_hole_y=130.00; predicted_hole_y=310.00,
