Timestamp,Response,Intensity,Experiment
1745578073585.8767,1,2,Staircase Procedure,
1745578077476.956,1,2,Staircase Procedure,
1745578086382.0513,1,2,Staircase Procedure,
1745578093419.2046,1,2,Staircase Procedure,
1745578102423.918,1,2,Staircase Procedure,
1745578107387.0896,1,2,Staircase Procedure,
1745578109572.6155,1,2,Staircase Procedure,
1745578112724.1956,1,2,Staircase Procedure,
1745578116445.1182,1,2,Staircase Procedure,
1745578121486.8987,1,2,Staircase Procedure,
1745578129459.4866,1,2,Staircase Procedure,
1745578136464.3562,1,2,Staircase Procedure,
1745578144576.046,1,2,Staircase Procedure,
1745578152434.2742,1,2,Staircase Procedure,
1745578161511.714,1,2,Staircase Procedure,
1745578168694.9321,1,2,Staircase Procedure,
1745578176525.167,1,2,Staircase Procedure,
1745578178529.3213,1,2,Staircase Procedure,
1745578184498.1372,1,2,Staircase Procedure,
1745578187891.9307,1,2,Staircase Procedure,
1745578217574.0166,NoShot,2,OptimalMoment; current_hole_y=60.00; predicted_hole_y=240.00,
1745578217625.581,NoShot,2,OptimalMoment; current_hole_y=70.00; predicted_hole_y=250.00,
1745578217663.9268,NoShot,2,OptimalMoment; current_hole_y=80.00; predicted_hole_y=260.00,
1745578217701.4695,NoShot,2,OptimalMoment; current_hole_y=90.00; predicted_hole_y=270.00,
1745578217745.162,NoShot,2,OptimalMoment; current_hole_y=100.00; predicted_hole_y=280.00,
1745578217789.0403,NoShot,2,OptimalMoment; current_hole_y=110.00; predicted_hole_y=290.00,
1745578217827.6064,NoShot,2,OptimalMoment; current_hole_y=120.00; predicted_hole_y=300.00,
1745578217865.62,NoShot,2,OptimalMoment; current_hole_y=130.00; predicted_hole_y=310.00,
1745578217903.0493,NoShot,2,OptimalMoment; current_hole_y=140.00; predicted_hole_y=320.00,
1745578217940.6194,NoShot,2,OptimalMoment; current_hole_y=150.00; predicted_hole_y=330.00,
1745578219555.8462,,2,ComputerShoot,
1745578219717.4426,NoShot,2,OptimalMoment; current_hole_y=510.00; predicted_hole_y=330.00,
1745578219761.7734,NoShot,2,OptimalMoment; current_hole_y=500.00; predicted_hole_y=320.00,
1745578219804.2205,NoShot,2,OptimalMoment; current_hole_y=490.00; predicted_hole_y=310.00,
1745578219841.058,NoShot,2,OptimalMoment; current_hole_y=480.00; predicted_hole_y=300.00,
1745578219877.834,NoShot,2,OptimalMoment; current_hole_y=470.00; predicted_hole_y=290.00,
1745578219915.0005,NoShot,2,OptimalMoment; current_hole_y=460.00; predicted_hole_y=280.00,
1745578219952.9812,NoShot,2,OptimalMoment; current_hole_y=450.00; predicted_hole_y=270.00,
1745578219994.633,NoShot,2,OptimalMoment; current_hole_y=440.00; predicted_hole_y=260.00,
1745578220031.677,NoShot,2,OptimalMoment; current_hole_y=430.00; predicted_hole_y=250.00,
1745578220068.4072,NoShot,2,OptimalMoment; current_hole_y=420.00; predicted_hole_y=240.00,
1745578221671.687,NoShot,2,OptimalMoment; current_hole_y=60.00; predicted_hole_y=240.00,
1745578221710.743,NoShot,2,OptimalMoment; current_hole_y=70.00; predicted_hole_y=250.00,
1745578221753.5881,NoShot,2,OptimalMoment; current_hole_y=80.00; predicted_hole_y=260.00,
1745578221797.5,NoShot,2,OptimalMoment; current_hole_y=90.00; predicted_hole_y=270.00,
1745578221841.2278,NoShot,2,OptimalMoment; current_hole_y=100.00; predicted_hole_y=280.00,
1745578221884.8643,NoShot,2,OptimalMoment; current_hole_y=110.00; predicted_hole_y=290.00,
1745578221923.221,NoShot,2,OptimalMoment; current_hole_y=120.00; predicted_hole_y=300.00,
1745578221961.7356,NoShot,2,OptimalMoment; current_hole_y=130.00; predicted_hole_y=310.00,
1745578221999.6753,NoShot,2,OptimalMoment; current_hole_y=140.00; predicted_hole_y=320.00,
1745578222037.9153,NoShot,2,OptimalMoment; current_hole_y=150.00; predicted_hole_y=330.00,
1745578223204.7104,,2,PlayerShoot; current_hole_y=420.00; predicted_hole_y=500.00; optimal=False,Score=-5.00; 
1745578223687.0889,,2,ComputerShoot,
1745578223854.1714,NoShot,2,OptimalMoment; current_hole_y=510.00; predicted_hole_y=330.00,
1745578223897.1265,NoShot,2,OptimalMoment; current_hole_y=500.00; predicted_hole_y=320.00,
1745578223938.1497,NoShot,2,OptimalMoment; current_hole_y=490.00; predicted_hole_y=310.00,
1745578223975.4434,NoShot,2,OptimalMoment; current_hole_y=480.00; predicted_hole_y=300.00,
1745578224013.6853,NoShot,2,OptimalMoment; current_hole_y=470.00; predicted_hole_y=290.00,
1745578224051.8372,NoShot,2,OptimalMoment; current_hole_y=460.00; predicted_hole_y=280.00,
1745578224091.7124,NoShot,2,OptimalMoment; current_hole_y=450.00; predicted_hole_y=270.00,
1745578224130.1938,NoShot,2,OptimalMoment; current_hole_y=440.00; predicted_hole_y=260.00,
1745578224168.6335,NoShot,2,OptimalMoment; current_hole_y=430.00; predicted_hole_y=250.00,
1745578224206.1804,NoShot,2,OptimalMoment; current_hole_y=420.00; predicted_hole_y=240.00,
1745578225722.58,NoShot,2,OptimalMoment; current_hole_y=60.00; predicted_hole_y=240.00,
1745578225766.9944,NoShot,2,OptimalMoment; current_hole_y=70.00; predicted_hole_y=250.00,
1745578225811.738,NoShot,2,OptimalMoment; current_hole_y=80.00; predicted_hole_y=260.00,
1745578225851.0664,NoShot,2,OptimalMoment; current_hole_y=90.00; predicted_hole_y=270.00,
1745578225889.259,NoShot,2,OptimalMoment; current_hole_y=100.00; predicted_hole_y=280.00,
1745578225928.2715,NoShot,2,OptimalMoment; current_hole_y=110.00; predicted_hole_y=290.00,
1745578225967.2021,NoShot,2,OptimalMoment; current_hole_y=120.00; predicted_hole_y=300.00,
1745578226007.4956,NoShot,2,OptimalMoment; current_hole_y=130.00; predicted_hole_y=310.00,
1745578226045.401,NoShot,2,OptimalMoment; current_hole_y=140.00; predicted_hole_y=320.00,
1745578226082.341,NoShot,2,OptimalMoment; current_hole_y=150.00; predicted_hole_y=330.00,
1745578227732.9092,,2,ComputerShoot,
1745578227907.6877,NoShot,2,OptimalMoment; current_hole_y=510.00; predicted_hole_y=330.00,
1745578227951.4922,NoShot,2,OptimalMoment; current_hole_y=500.00; predicted_hole_y=320.00,
1745578227990.281,NoShot,2,OptimalMoment; current_hole_y=490.00; predicted_hole_y=310.00,
1745578228028.7063,NoShot,2,OptimalMoment; current_hole_y=480.00; predicted_hole_y=300.00,
1745578228065.8694,NoShot,2,OptimalMoment; current_hole_y=470.00; predicted_hole_y=290.00,
