Timestamp,Response,Intensity,Experiment
1746785612820.9321,1,2,Staircase Procedure,
1746785622030.2632,1,2,Staircase Procedure,
1746785629793.468,1,2,Staircase Procedure,
1746785638755.4443,1,2,Staircase Procedure,
1746785645083.6553,0,2,Staircase Procedure,
1746785646765.5388,1,3,Staircase Procedure,
1746785649670.117,1,2,Staircase Procedure,
1746785659597.4373,1,2,Staircase Procedure,
1746785664639.3801,1,2,Staircase Procedure,
1746785671098.7864,0,2,Staircase Procedure,
1746785674502.2544,1,3,Staircase Procedure,
1746785675818.6821,1,2,Staircase Procedure,
1746785684889.3726,1,2,Staircase Procedure,
1746785694514.3403,1,2,Staircase Procedure,
1746785704108.8296,0,2,Staircase Procedure,
1746785704743.7292,1,3,Staircase Procedure,
1746785711706.3867,1,2,Staircase Procedure,
1746785721675.108,1,2,Staircase Procedure,
1746785725749.4373,1,2,Staircase Procedure,
1746785732001.4968,1,2,Staircase Procedure,
1746785808341.5747,NoShot,2.5,OptimalMoment; current_hole_y=60.00; predicted_hole_y=240.00,
1746785808385.6614,NoShot,2.5,OptimalMoment; current_hole_y=70.00; predicted_hole_y=250.00,
1746785808426.2598,NoShot,2.5,OptimalMoment; current_hole_y=80.00; predicted_hole_y=260.00,
1746785808469.7388,NoShot,2.5,OptimalMoment; current_hole_y=90.00; predicted_hole_y=270.00,
1746785808513.0984,NoShot,2.5,OptimalMoment; current_hole_y=100.00; predicted_hole_y=280.00,
1746785808556.8547,NoShot,2.5,OptimalMoment; current_hole_y=110.00; predicted_hole_y=290.00,
1746785808599.4902,NoShot,2.5,OptimalMoment; current_hole_y=120.00; predicted_hole_y=300.00,
1746785808637.7915,NoShot,2.5,OptimalMoment; current_hole_y=130.00; predicted_hole_y=310.00,
1746785808680.2153,NoShot,2.5,OptimalMoment; current_hole_y=140.00; predicted_hole_y=320.00,
1746785808724.7993,NoShot,2.5,OptimalMoment; current_hole_y=150.00; predicted_hole_y=330.00,
1746785810446.5,,2.5,ComputerShoot,
1746785810620.0916,NoShot,2.5,OptimalMoment; current_hole_y=510.00; predicted_hole_y=330.00,
1746785810665.1025,NoShot,2.5,OptimalMoment; current_hole_y=500.00; predicted_hole_y=320.00,
1746785810708.6934,NoShot,2.5,OptimalMoment; current_hole_y=490.00; predicted_hole_y=310.00,
1746785810751.544,,2.5,PlayerShoot; current_hole_y=490.00; predicted_hole_y=310.00; optimal=True,Score=0.00; 
1746785810793.504,NoShot,2.5,OptimalMoment; current_hole_y=470.00; predicted_hole_y=290.00,
1746785810836.9622,NoShot,2.5,OptimalMoment; current_hole_y=460.00; predicted_hole_y=280.00,
1746785810880.0996,NoShot,2.5,OptimalMoment; current_hole_y=450.00; predicted_hole_y=270.00,
1746785810923.6736,NoShot,2.5,OptimalMoment; current_hole_y=440.00; predicted_hole_y=260.00,
1746785810967.1548,NoShot,2.5,OptimalMoment; current_hole_y=430.00; predicted_hole_y=250.00,
1746785811007.6538,NoShot,2.5,OptimalMoment; current_hole_y=420.00; predicted_hole_y=240.00,
1746785812648.7302,NoShot,2.5,OptimalMoment; current_hole_y=60.00; predicted_hole_y=240.00,
1746785812692.0278,NoShot,2.5,OptimalMoment; current_hole_y=70.00; predicted_hole_y=250.00,
1746785812737.2407,NoShot,2.5,OptimalMoment; current_hole_y=80.00; predicted_hole_y=260.00,
1746785812780.5518,NoShot,2.5,OptimalMoment; current_hole_y=90.00; predicted_hole_y=270.00,
1746785812824.4277,NoShot,2.5,OptimalMoment; current_hole_y=100.00; predicted_hole_y=280.00,
1746785812867.9656,NoShot,2.5,OptimalMoment; current_hole_y=110.00; predicted_hole_y=290.00,
1746785812911.9292,NoShot,2.5,OptimalMoment; current_hole_y=120.00; predicted_hole_y=300.00,
1746785812952.724,,2.5,PlayerShoot; current_hole_y=120.00; predicted_hole_y=300.00; optimal=True,Score=5.00; 
1746785812997.83,NoShot,2.5,OptimalMoment; current_hole_y=140.00; predicted_hole_y=320.00,
1746785813041.76,NoShot,2.5,OptimalMoment; current_hole_y=150.00; predicted_hole_y=330.00,
1746785814775.0188,,2.5,ComputerShoot,
1746785814950.732,NoShot,2.5,OptimalMoment; current_hole_y=510.00; predicted_hole_y=330.00,
1746785814993.5889,NoShot,2.5,OptimalMoment; current_hole_y=500.00; predicted_hole_y=320.00,
1746785815033.7373,NoShot,2.5,OptimalMoment; current_hole_y=490.00; predicted_hole_y=310.00,
1746785815073.6138,NoShot,2.5,OptimalMoment; current_hole_y=480.00; predicted_hole_y=300.00,
1746785815118.6672,,2.5,VibrationSent,
1746785815119.231,NoShot,2.5,OptimalMoment; current_hole_y=470.00; predicted_hole_y=290.00,
1746785815163.7947,NoShot,2.5,OptimalMoment; current_hole_y=460.00; predicted_hole_y=280.00,
1746785815207.7976,NoShot,2.5,OptimalMoment; current_hole_y=450.00; predicted_hole_y=270.00,
1746785815250.8357,NoShot,2.5,OptimalMoment; current_hole_y=440.00; predicted_hole_y=260.00,
1746785815290.7969,NoShot,2.5,OptimalMoment; current_hole_y=430.00; predicted_hole_y=250.00,
1746785815330.807,NoShot,2.5,OptimalMoment; current_hole_y=420.00; predicted_hole_y=240.00,
1746785815748.541,,2.5,PlayerShoot; current_hole_y=330.00; predicted_hole_y=150.00; optimal=False,Score=15.00; 
1746785816452.857,1,2.5,FootPedalPress,
1746785816982.7417,NoShot,2.5,OptimalMoment; current_hole_y=60.00; predicted_hole_y=240.00,
1746785817025.4321,NoShot,2.5,OptimalMoment; current_hole_y=70.00; predicted_hole_y=250.00,
1746785817069.2886,NoShot,2.5,OptimalMoment; current_hole_y=80.00; predicted_hole_y=260.00,
1746785817112.5469,NoShot,2.5,OptimalMoment; current_hole_y=90.00; predicted_hole_y=270.00,
1746785817157.4177,NoShot,2.5,OptimalMoment; current_hole_y=100.00; predicted_hole_y=280.00,
1746785817200.6982,NoShot,2.5,OptimalMoment; current_hole_y=110.00; predicted_hole_y=290.00,
1746785817239.7583,NoShot,2.5,OptimalMoment; current_hole_y=120.00; predicted_hole_y=300.00,
1746785817279.4478,NoShot,2.5,OptimalMoment; current_hole_y=130.00; predicted_hole_y=310.00,
1746785817318.9412,NoShot,2.5,OptimalMoment; current_hole_y=140.00; predicted_hole_y=320.00,
1746785817357.876,NoShot,2.5,OptimalMoment; current_hole_y=150.00; predicted_hole_y=330.00,
1746785818517.9695,,2.5,VibrationSent,
1746785819070.4402,,2.5,ComputerShoot,
