Timestamp,Response,Intensity,Experiment
1747133871265.2183,1,2,Staircase Procedure,
1747133880103.705,1,2,Staircase Procedure,
1747133884000.078,1,2,Staircase Procedure,
1747133885860.9846,1,2,Staircase Procedure,
1747133893042.8489,1,2,Staircase Procedure,
1747133902839.364,1,2,Staircase Procedure,
1747133910849.9917,1,2,Staircase Procedure,
1747133921378.399,0,2,Staircase Procedure,
1747133922885.3333,1,3,Staircase Procedure,
1747133932995.361,1,2,Staircase Procedure,
1747133941900.0466,1,2,Staircase Procedure,
1747133944971.5166,1,2,Staircase Procedure,
1747133946020.379,1,2,Staircase Procedure,
1747133949850.9075,1,2,Staircase Procedure,
1747133958921.1995,1,2,Staircase Procedure,
1747133962888.9233,1,2,Staircase Procedure,
1747133967829.471,1,2,Staircase Procedure,
1747133971899.4192,1,2,Staircase Procedure,
1747133973927.6003,1,2,Staircase Procedure,
1747133977862.4353,1,2,Staircase Procedure,
1747133998842.6294,NoShot,2.5,OptimalMoment; current_hole_y=60.00; predicted_hole_y=240.00,
1747133998882.0247,NoShot,2.5,OptimalMoment; current_hole_y=70.00; predicted_hole_y=250.00,
1747133998919.6597,NoShot,2.5,OptimalMoment; current_hole_y=80.00; predicted_hole_y=260.00,
1747133998958.659,NoShot,2.5,OptimalMoment; current_hole_y=90.00; predicted_hole_y=270.00,
1747133998997.7615,NoShot,2.5,OptimalMoment; current_hole_y=100.00; predicted_hole_y=280.00,
1747133999035.097,NoShot,2.5,OptimalMoment; current_hole_y=110.00; predicted_hole_y=290.00,
1747133999074.4614,NoShot,2.5,OptimalMoment; current_hole_y=120.00; predicted_hole_y=300.00,
1747133999114.2217,NoShot,2.5,OptimalMoment; current_hole_y=130.00; predicted_hole_y=310.00,
1747133999151.6958,NoShot,2.5,OptimalMoment; current_hole_y=140.00; predicted_hole_y=320.00,
1747133999188.2837,NoShot,2.5,OptimalMoment; current_hole_y=150.00; predicted_hole_y=330.00,
1747134000711.04,,2.5,ComputerShoot,
1747134000865.365,NoShot,2.5,OptimalMoment; current_hole_y=510.00; predicted_hole_y=330.00,
1747134000902.8494,NoShot,2.5,OptimalMoment; current_hole_y=500.00; predicted_hole_y=320.00,
1747134000940.248,NoShot,2.5,OptimalMoment; current_hole_y=490.00; predicted_hole_y=310.00,
1747134000978.093,NoShot,2.5,OptimalMoment; current_hole_y=480.00; predicted_hole_y=300.00,
1747134001015.2446,NoShot,2.5,OptimalMoment; current_hole_y=470.00; predicted_hole_y=290.00,
1747134001053.1064,NoShot,2.5,OptimalMoment; current_hole_y=460.00; predicted_hole_y=280.00,
1747134001090.1765,NoShot,2.5,OptimalMoment; current_hole_y=450.00; predicted_hole_y=270.00,
1747134001126.968,NoShot,2.5,OptimalMoment; current_hole_y=440.00; predicted_hole_y=260.00,
1747134001163.9521,NoShot,2.5,OptimalMoment; current_hole_y=430.00; predicted_hole_y=250.00,
1747134001202.4473,NoShot,2.5,OptimalMoment; current_hole_y=420.00; predicted_hole_y=240.00,
1747134002683.9263,NoShot,2.5,OptimalMoment; current_hole_y=60.00; predicted_hole_y=240.00,
1747134002723.952,NoShot,2.5,OptimalMoment; current_hole_y=70.00; predicted_hole_y=250.00,
1747134002761.0964,NoShot,2.5,OptimalMoment; current_hole_y=80.00; predicted_hole_y=260.00,
1747134002799.672,NoShot,2.5,OptimalMoment; current_hole_y=90.00; predicted_hole_y=270.00,
1747134002837.6345,NoShot,2.5,OptimalMoment; current_hole_y=100.00; predicted_hole_y=280.00,
1747134002876.5315,NoShot,2.5,OptimalMoment; current_hole_y=110.00; predicted_hole_y=290.00,
1747134002916.4004,NoShot,2.5,OptimalMoment; current_hole_y=120.00; predicted_hole_y=300.00,
1747134002955.0857,NoShot,2.5,OptimalMoment; current_hole_y=130.00; predicted_hole_y=310.00,
1747134002991.8015,NoShot,2.5,OptimalMoment; current_hole_y=140.00; predicted_hole_y=320.00,
1747134003029.6616,NoShot,2.5,OptimalMoment; current_hole_y=150.00; predicted_hole_y=330.00,
1747134003972.1682,,2.5,PlayerShoot; current_hole_y=380.00; predicted_hole_y=540.00; optimal=False,Score=-5.00; 
1747134004611.6965,,2.5,ComputerShoot,
1747134004769.58,NoShot,2.5,OptimalMoment; current_hole_y=510.00; predicted_hole_y=330.00,
1747134004808.0566,NoShot,2.5,OptimalMoment; current_hole_y=500.00; predicted_hole_y=320.00,
1747134004852.7185,NoShot,2.5,OptimalMoment; current_hole_y=490.00; predicted_hole_y=310.00,
1747134004890.7693,NoShot,2.5,OptimalMoment; current_hole_y=480.00; predicted_hole_y=300.00,
1747134004927.509,NoShot,2.5,OptimalMoment; current_hole_y=470.00; predicted_hole_y=290.00,
1747134004965.1372,NoShot,2.5,OptimalMoment; current_hole_y=460.00; predicted_hole_y=280.00,
1747134005005.5317,NoShot,2.5,OptimalMoment; current_hole_y=450.00; predicted_hole_y=270.00,
1747134005046.4668,NoShot,2.5,OptimalMoment; current_hole_y=440.00; predicted_hole_y=260.00,
1747134005087.684,NoShot,2.5,OptimalMoment; current_hole_y=430.00; predicted_hole_y=250.00,
1747134005126.1633,NoShot,2.5,OptimalMoment; current_hole_y=420.00; predicted_hole_y=240.00,
1747134006624.705,NoShot,2.5,OptimalMoment; current_hole_y=60.00; predicted_hole_y=240.00,
1747134006665.2651,NoShot,2.5,OptimalMoment; current_hole_y=70.00; predicted_hole_y=250.00,
